Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington E09000019,2.1
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea E09000020,1.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000153,Kettering E07000153,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000146,King's Lynn and West Norfolk E07000146,1
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames E09000021,1
http://opendatacommunities.org/id/geography/administration/md/E08000034,Kirklees E08000034,2.1
http://opendatacommunities.org/id/geography/administration/md/E08000011,Knowsley E08000011,3.1
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth E09000022,2.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000121,Lancaster E07000121,2.3
http://opendatacommunities.org/id/geography/administration/md/E08000035,Leeds E08000035,2.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000063,Lewes E07000063,1.2
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham E09000023,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000194,Lichfield E07000194,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000138,Lincoln E07000138,2.3
http://opendatacommunities.org/id/geography/administration/md/E08000012,Liverpool E08000012,3.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000110,Maidstone E07000110,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000074,Maldon E07000074,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000235,Malvern Hills E07000235,1
http://opendatacommunities.org/id/geography/administration/md/E08000003,Manchester E08000003,2.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000174,Mansfield E07000174,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000133,Melton E07000133,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000187,Mendip E07000187,1.4
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton E09000024,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000042,Mid Devon E07000042,1
