num_borrowers,agenew,devontown
26,0,Exeter
52,1,Exeter
123,10,Exeter
126,11,Exeter
2,112,Exeter
1,113,Exeter
3,115,Exeter
2,116,Exeter
134,12,Exeter
92,13,Exeter
78,14,Exeter
73,15,Exeter
48,16,Exeter
67,17,Exeter
74,18,Exeter
77,19,Exeter
80,2,Exeter
69,20,Exeter
69,21,Exeter
55,22,Exeter
64,23,Exeter
51,24,Exeter
55,25,Exeter
62,26,Exeter
57,27,Exeter
74,28,Exeter
69,29,Exeter
115,3,Exeter
59,30,Exeter
56,31,Exeter
82,32,Exeter
62,33,Exeter
62,34,Exeter
78,35,Exeter
81,36,Exeter
86,37,Exeter
86,38,Exeter
85,39,Exeter
115,4,Exeter
75,40,Exeter
83,41,Exeter
88,42,Exeter
81,43,Exeter
73,44,Exeter
83,45,Exeter
77,46,Exeter
73,47,Exeter
62,48,Exeter
65,49,Exeter
113,5,Exeter
66,50,Exeter
52,51,Exeter
40,52,Exeter
48,53,Exeter
42,54,Exeter
60,55,Exeter
40,56,Exeter
41,57,Exeter
51,58,Exeter
41,59,Exeter
148,6,Exeter
48,60,Exeter
47,61,Exeter
50,62,Exeter
32,63,Exeter
63,64,Exeter
66,65,Exeter
74,66,Exeter
67,67,Exeter
75,68,Exeter
73,69,Exeter
118,7,Exeter
65,70,Exeter
55,71,Exeter
61,72,Exeter
50,73,Exeter
56,74,Exeter
33,75,Exeter
40,76,Exeter
35,77,Exeter
38,78,Exeter
29,79,Exeter
142,8,Exeter
25,80,Exeter
20,81,Exeter
22,82,Exeter
17,83,Exeter
13,84,Exeter
19,85,Exeter
18,86,Exeter
13,87,Exeter
11,88,Exeter
14,89,Exeter
140,9,Exeter
8,90,Exeter
8,91,Exeter
4,92,Exeter
2,93,Exeter
2,94,Exeter
2,96,Exeter
2,97,Exeter
2397,,Exmouth
25,0,Exmouth
98,1,Exmouth
326,10,Exmouth
1,100,Exmouth
1,102,Exmouth
1,106,Exmouth
348,11,Exmouth
1,112,Exmouth
1,113,Exmouth
4,115,Exmouth
7,116,Exmouth
287,12,Exmouth
268,13,Exmouth
216,14,Exmouth
217,15,Exmouth
199,16,Exmouth
205,17,Exmouth
214,18,Exmouth
216,19,Exmouth
159,2,Exmouth
192,20,Exmouth
231,21,Exmouth
198,22,Exmouth
184,23,Exmouth
225,24,Exmouth
252,25,Exmouth
188,26,Exmouth
212,27,Exmouth
241,28,Exmouth
210,29,Exmouth
199,3,Exmouth
227,30,Exmouth
212,31,Exmouth
198,32,Exmouth
241,33,Exmouth
199,34,Exmouth
217,35,Exmouth
227,36,Exmouth
217,37,Exmouth
242,38,Exmouth
191,39,Exmouth
250,4,Exmouth
234,40,Exmouth
170,41,Exmouth
213,42,Exmouth
212,43,Exmouth
200,44,Exmouth
196,45,Exmouth
189,46,Exmouth
210,47,Exmouth
176,48,Exmouth
203,49,Exmouth
271,5,Exmouth
181,50,Exmouth
197,51,Exmouth
164,52,Exmouth
203,53,Exmouth
177,54,Exmouth
168,55,Exmouth
180,56,Exmouth
170,57,Exmouth
167,58,Exmouth
186,59,Exmouth
333,6,Exmouth
178,60,Exmouth
186,61,Exmouth
178,62,Exmouth
205,63,Exmouth
229,64,Exmouth
215,65,Exmouth
231,66,Exmouth
246,67,Exmouth
243,68,Exmouth
232,69,Exmouth
362,7,Exmouth
202,70,Exmouth
194,71,Exmouth
216,72,Exmouth
150,73,Exmouth
163,74,Exmouth
108,75,Exmouth
137,76,Exmouth
111,77,Exmouth
109,78,Exmouth
73,79,Exmouth
392,8,Exmouth
88,80,Exmouth
84,81,Exmouth
60,82,Exmouth
60,83,Exmouth
57,84,Exmouth
51,85,Exmouth
49,86,Exmouth
39,87,Exmouth
40,88,Exmouth
23,89,Exmouth
378,9,Exmouth
21,90,Exmouth
21,91,Exmouth
10,92,Exmouth
9,93,Exmouth
9,94,Exmouth
4,95,Exmouth
9,96,Exmouth
3,97,Exmouth
1,98,Exmouth
3,99,Exmouth
413,,Great Torrington
8,0,Great Torrington
26,1,Great Torrington
76,10,Great Torrington
101,11,Great Torrington
1,113,Great Torrington
78,12,Great Torrington
66,13,Great Torrington
62,14,Great Torrington
46,15,Great Torrington
50,16,Great Torrington
43,17,Great Torrington
43,18,Great Torrington
45,19,Great Torrington
29,2,Great Torrington
45,20,Great Torrington
43,21,Great Torrington
40,22,Great Torrington
35,23,Great Torrington
33,24,Great Torrington
52,25,Great Torrington
51,26,Great Torrington
35,27,Great Torrington
115,28,Great Torrington
36,29,Great Torrington
60,3,Great Torrington
34,30,Great Torrington
37,31,Great Torrington
41,32,Great Torrington
32,33,Great Torrington
40,34,Great Torrington
40,35,Great Torrington
62,36,Great Torrington
52,37,Great Torrington
33,38,Great Torrington
28,39,Great Torrington
71,4,Great Torrington
39,40,Great Torrington
49,41,Great Torrington
34,42,Great Torrington
38,43,Great Torrington
40,44,Great Torrington
33,45,Great Torrington
48,46,Great Torrington
44,47,Great Torrington
40,48,Great Torrington
45,49,Great Torrington
79,5,Great Torrington
37,50,Great Torrington
35,51,Great Torrington
31,52,Great Torrington
36,53,Great Torrington
20,54,Great Torrington
35,55,Great Torrington
36,56,Great Torrington
34,57,Great Torrington
50,58,Great Torrington
54,59,Great Torrington
76,6,Great Torrington
51,60,Great Torrington
33,61,Great Torrington
47,62,Great Torrington
53,63,Great Torrington
42,64,Great Torrington
53,65,Great Torrington
54,66,Great Torrington
51,67,Great Torrington
41,68,Great Torrington
60,69,Great Torrington
94,7,Great Torrington
54,70,Great Torrington
47,71,Great Torrington
37,72,Great Torrington
27,73,Great Torrington
